Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0u1,C_0805_2012Metric,112.6005,-89.916,180,top
C2,0u1,C_0805_2012Metric,123.2685,-89.916,0,top
C3,0u1,C_0805_2012Metric,112.1895,-104.902,180,top
C4,0u1,C_0805_2012Metric,126.6675,-100.584,0,top
C5,0u1,C_0805_2012Metric,122.7605,-105.156,0,top
C6,4u7,C_0805_2012Metric,127.18,-96.0075,270,top
C7,22p,C_0805_2012Metric,108.6335,-97.028,180,top
C8,22p,C_0805_2012Metric,108.3795,-90.678,0,top
C9,1u,C_0805_2012Metric,127.5865,-89.916,0,top
C10,0u1,C_0805_2012Metric,124.6355,-102.616,0,top
R3,10K,R_0805_2012Metric,111.506,-111.6815,270,top
R4,22,R_0805_2012Metric,129.9625,-92.19,180,top
R5,22,R_0805_2012Metric,129.9625,-94.73,180,top
SW1,SW_DPST,SW_SPST_TL3342,119.786,-110.866,0,top
U1,ATMEGA32U4-EP,LQFP-44_10x10mm_P0.8mm,118.09,-97.09,225,top
X1,16MHz,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,108.42,-93.896,90,top
